subject,file,N_target,kind,frames,shape_p50_diff_mean,shape_p90_diff_mean,centroid_drift_mean,nn_p95_mean,unique_ratio_mean,max_dup_p95,jitter_base,jitter_fps,jitter_wrs
F,Jalan14.csv,56,fps_overall,105,0.013099369016431626,0.058795713143689296,0.04301321147497566,0.00463308472167573,0.5804421768707484,15.799999999999997,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan14.csv,56,fps_down,16,0.017256437335163355,0.008181967586278933,0.07938777795061469,0.030404618485996977,1.0,1.0,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan14.csv,56,fps_up,88,0.012492394879121672,0.06866634543985128,0.0368884404279842,0.0,0.49939123376623373,16.0,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan14.csv,56,wrs_overall,105,0.011545635298604057,0.058851318430332915,0.03440244506734113,0.00758680044512763,0.5804421768707484,15.799999999999997,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan14.csv,56,wrs_down,16,0.007060059811919928,0.008546877279877685,0.022879623400513083,0.04978837792115008,1.0,1.0,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan14.csv,56,wrs_up,88,0.012492394879121672,0.06866634543985128,0.0368884404279842,0.0,0.49939123376623373,16.0,0.543036162853241,0.5408419966697693,0.5416936278343201
F,Jalan15.csv,56,fps_overall,245,0.009922414698771068,0.06458102928740639,0.033063870905993546,0.004093233229250978,0.5801020408163265,15.0,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan15.csv,56,fps_down,39,0.01000547829346779,0.07762248195134673,0.03019368851509614,0.025713901055551016,1.0,1.0,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan15.csv,56,fps_up,205,0.009955014379286184,0.062415001850302645,0.03377119277990082,0.0,0.4981707317073171,15.799999999999983,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan15.csv,56,wrs_overall,245,0.009087081648865524,0.054274052515321865,0.031374622395794305,0.006090263453440372,0.5801020408163265,15.0,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan15.csv,56,wrs_down,39,0.004757873236368864,0.012873525306200354,0.0195817427458958,0.03825934733571517,1.0,1.0,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan15.csv,56,wrs_up,205,0.009955014379286184,0.062415001850302645,0.03377119277990082,0.0,0.4981707317073171,15.799999999999983,0.6869955658912659,0.6884357333183289,0.6897297501564026
F,Jalan16.csv,56,fps_overall,269,0.010182052656841988,0.03600930435839195,0.026537017352345874,0.006161368567070388,0.6176314391927775,15.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan16.csv,56,fps_down,77,0.00682558777270379,0.008204354926363205,0.02419196177642889,0.0215247810979472,1.0,1.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan16.csv,56,fps_up,190,0.011649483716801592,0.04765667127935509,0.027766719005242187,0.0,0.45864661654135336,16.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan16.csv,56,wrs_overall,269,0.0097281302439679,0.036524829595283935,0.023379877923735068,0.009635444092271118,0.6176314391927775,15.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan16.csv,56,wrs_down,77,0.0052398068757800315,0.010005345689011859,0.01316247468167166,0.03366148650416794,1.0,1.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan16.csv,56,wrs_up,190,0.011649483716801592,0.04765667127935509,0.027766719005242187,0.0,0.45864661654135336,16.0,0.6361876726150513,0.6276810169219971,0.6271198391914368
F,Jalan17.csv,56,fps_overall,238,0.010334488544456599,0.027952906839987822,0.029478547069881924,0.008840803221290244,0.6952280912364946,13.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
F,Jalan17.csv,56,fps_down,89,0.011204013789302848,0.017033456165469113,0.031041658810454974,0.023641698501877282,1.0,1.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
F,Jalan17.csv,56,fps_up,146,0.010016787988580253,0.03518365910404349,0.02913141485274935,0.0,0.5031800391389433,15.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
F,Jalan17.csv,56,wrs_overall,238,0.008670572387132825,0.03838343821904238,0.026984952701286983,0.017480583575449567,0.6952280912364946,13.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
F,Jalan17.csv,56,wrs_down,89,0.006754440244998825,0.04492633783080604,0.02437339521803255,0.04674583023547187,1.0,1.0,0.6025159955024719,0.6007720232009888,0.6036610007286072
