timestamp,frame,x,y,z,doppler,SNR
1762771577.897831,89,-1.313040,0.706651,1.307680,-0.556640,6.520000
1762771577.897831,89,-1.362791,0.679414,1.228608,-0.626360,5.760000
1762771577.897831,89,-1.413287,0.704588,1.200025,-0.487200,4.760000
1762771577.897831,89,-1.463783,0.729763,1.171443,-0.487200,3.240000
1762771577.897831,89,-1.242591,0.753134,1.377483,-0.556640,6.760000
1762771577.897831,89,-1.295543,0.731848,1.300928,-0.556640,7.000000
1762771577.897831,89,-1.345402,0.705574,1.221598,-0.626360,6.120000
1762771577.897831,89,-1.277529,0.756703,1.294268,-0.556640,7.640000
1762771577.897831,89,-1.117358,0.776151,1.327759,-0.556640,3.640000
1762771577.897831,89,-1.134545,0.841806,1.290816,-0.556640,8.520000
1762771577.897831,89,-1.169517,0.886836,1.259399,-0.556640,10.760000
1762771577.897831,89,-1.251451,0.845620,1.076646,-0.487200,5.880000
1762771577.897831,89,-1.190953,0.846702,1.117630,-0.487200,8.760000
1762771577.897831,89,-1.241014,0.876659,0.973805,-0.487200,4.360000
1762771577.897831,89,-1.272253,0.919246,0.935096,-0.487200,3.240000
1762771577.897831,89,0.021971,0.030094,1.749759,2.087400,4.640000
1762771577.962894,90,-1.287555,0.659710,1.541970,-0.556640,5.240000
1762771577.962894,90,-1.341221,0.687207,1.522879,-0.556640,5.120000
1762771577.962894,90,-1.394886,0.714704,1.503788,0.278320,4.760000
1762771577.962894,90,-1.445003,0.704224,1.425645,0.278320,4.120000
1762771577.962894,90,-1.272183,0.684436,1.535345,-0.556640,5.760000
1762771577.962894,90,-1.325208,0.712964,1.515978,-0.556640,5.760000
1762771577.962894,90,-1.375429,0.704962,1.439680,0.278320,5.240000
1762771577.962894,90,-1.428138,0.731977,1.418208,0.278320,4.520000
1762771577.962894,90,-1.203939,0.679315,1.548440,-0.626360,3.760000
1762771577.962894,90,-1.256302,0.708860,1.528800,-0.556640,6.520000
1762771577.962894,90,-1.308665,0.738406,1.509160,-0.556640,6.360000
1762771577.962894,90,-1.358636,0.731372,1.432604,0.278320,5.880000
1762771577.962894,90,-1.410701,0.759399,1.410861,0.278320,5.000000
1762771577.962894,90,-1.188238,0.702422,1.542248,-0.626360,3.880000
1762771577.962894,90,-1.238091,0.699169,1.469813,-0.556640,7.240000
1762771577.962894,90,-1.289695,0.728311,1.447714,3.896480,7.240000
1762771577.962894,90,-1.341300,0.757453,1.425616,0.278320,6.640000
1762771577.962894,90,-1.396957,0.733897,1.349036,0.278320,5.520000
1762771577.962894,90,-1.178641,0.681450,1.488850,-0.626360,4.000000
1762771577.962894,90,-1.229904,0.711089,1.466619,-0.556640,8.120000
1762771577.962894,90,-1.281167,0.740727,1.444387,-0.556640,8.240000
1762771577.962894,90,-1.332430,0.770366,1.422156,0.278320,7.520000
1762771577.962894,90,-1.379132,0.760713,1.341851,0.278320,6.120000
1762771577.962894,90,-1.162596,0.704066,1.482790,-0.626360,4.120000
1762771577.962894,90,-1.213161,0.734688,1.460295,-0.556640,9.240000
1762771577.962894,90,-1.263726,0.765310,1.437800,-0.556640,9.520000
1762771577.962894,90,-1.314291,0.795932,1.415305,0.278320,8.640000
1762771577.962894,90,-1.360754,0.787179,1.334759,0.278320,6.760000
1762771577.962894,90,-1.195933,0.757959,1.454060,-0.556640,10.640000
1762771577.962894,90,-1.245779,0.789551,1.431305,-0.556640,11.000000
1762771577.962894,90,-1.292310,0.783269,1.352574,0.278320,10.000000
1762771577.962894,90,-1.341833,0.813285,1.327764,0.278320,7.640000
1762771577.962894,90,-1.178226,0.780892,1.447915,-0.556640,12.240000
1762771577.962894,90,-1.227335,0.813440,1.424904,-0.556640,13.000000
1762771577.962894,90,-1.283004,0.795707,1.349241,0.278320,11.640000
1762771577.962894,90,-1.332170,0.826200,1.324303,0.278320,8.520000
1762771577.962894,90,-1.166747,0.757190,1.393230,-0.626360,14.120000
1762771577.962894,90,-1.215378,0.788750,1.367939,3.896480,15.360000
1762771577.962894,90,-1.264008,0.820310,1.342649,0.278320,13.640000
1762771577.962894,90,-1.312447,0.851746,1.317458,0.278320,9.520000
1762771577.962894,90,-1.148746,0.779557,1.387237,-0.556640,16.360000
1762771577.962894,90,-1.196627,0.812049,1.361696,-0.556640,18.360000
1762771577.962894,90,-1.244507,0.844542,1.336156,0.278320,16.120000
1762771577.962894,90,-1.292198,0.876905,1.310717,-0.556640,10.640000
1762771577.962894,90,-1.139573,0.790609,1.384275,-0.556640,19.000000
1762771577.962894,90,-1.187071,0.823562,1.358612,-0.556640,22.240000
1762771577.962894,90,-1.234569,0.856515,1.332948,0.278320,19.240000
1762771577.962894,90,-1.074167,0.778581,1.404332,-0.626360,4.360000
1762771577.962894,90,-1.120886,0.812444,1.378425,-0.556640,21.760000
1762771577.962894,90,-1.167605,0.846307,1.352517,-0.556640,26.879999
1762771577.962894,90,-1.214324,0.880170,1.326610,-0.695800,22.879999
1762771577.962894,90,-1.101750,0.833914,1.372672,-0.556640,24.519999
1762771577.962894,90,-1.147672,0.868672,1.346525,-0.556640,32.359999
