input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\D\Jalan6.csv,3916,2988,124,57,0.5107262749072661,0.0,D,6
E:\0.TA_Teguh\dataset3\D\Jalan7.csv,5536,3970,132,52,0.5706593696993505,0.0,D,7
E:\0.TA_Teguh\dataset3\D\Jalan8.csv,3953,3562,105,36,0.6203903120076707,0.0,D,8
E:\0.TA_Teguh\dataset3\D\Jalan9.csv,6108,4953,129,53,0.5542003188473931,0.0,D,9
E:\0.TA_Teguh\dataset3\D\Jalan10.csv,4146,3543,130,57,0.5253256210714703,0.0,D,10
E:\0.TA_Teguh\dataset3\D\Jalan11.csv,4193,3457,146,67,0.5127646059847716,0.0,D,11
E:\0.TA_Teguh\dataset3\D\Jalan12.csv,5358,4953,121,21,0.7792167850558107,0.0,D,12
E:\0.TA_Teguh\dataset3\D\Jalan13.csv,5419,4641,138,39,0.6817018917036974,0.0,D,13
E:\0.TA_Teguh\dataset3\D\Jalan14.csv,3711,3263,111,31,0.6791405281100921,0.0,D,14
E:\0.TA_Teguh\dataset3\D\Jalan15.csv,9116,7135,356,155,0.5366865814938331,0.0,D,15
E:\0.TA_Teguh\dataset3\D\Jalan16.csv,11748,10686,284,58,0.7542214797160399,0.0,D,16
E:\0.TA_Teguh\dataset3\D\Jalan17.csv,10743,9822,241,39,0.7854893145828802,0.0,D,17
E:\0.TA_Teguh\dataset3\D\Jalan18.csv,10053,9330,188,18,0.8480793430570841,0.0,D,18
E:\0.TA_Teguh\dataset3\D\Jalan19.csv,10159,8277,301,82,0.6864958980538362,0.0,D,19
E:\0.TA_Teguh\dataset3\D\Jalan20.csv,10956,9797,286,57,0.7529096617669075,0.0,D,20
E:\0.TA_Teguh\dataset3\D\Jalan21.csv,14189,13162,253,21,0.8621190253946294,0.0,D,21
E:\0.TA_Teguh\dataset3\D\Jalan22.csv,11545,10772,202,11,0.8863790950805817,0.0,D,22
E:\0.TA_Teguh\dataset3\D\Jalan23.csv,20464,18115,529,139,0.6981409838935098,0.0,D,23
E:\0.TA_Teguh\dataset3\D\Jalan24.csv,23201,20865,511,112,0.740006676173956,0.0,D,24
E:\0.TA_Teguh\dataset3\D\Jalan25.csv,2831,2494,92,30,0.6393534554367248,0.0,D,25
E:\0.TA_Teguh\dataset3\D\Jalan26.csv,6232,5774,102,10,0.8471680366048364,0.0,D,26
E:\0.TA_Teguh\dataset3\D\Jalan27.csv,5398,4457,116,38,0.6346983158352536,0.0,D,27
E:\0.TA_Teguh\dataset3\D\Jalan28.csv,710,315,79,63,0.19135292716655725,0.0,D,28
E:\0.TA_Teguh\dataset3\D\Jalan29.csv,2110,1160,107,64,0.3818288334880925,0.0,D,29
E:\0.TA_Teguh\dataset3\D\Jalan30.csv,3026,1736,119,61,0.45113292133519073,0.0,D,30
E:\0.TA_Teguh\dataset3\D\Jalan31.csv,4137,2905,106,49,0.49947773468753154,0.0,D,31
