file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan57.csv,E,56,106,37,67,2,0,720,1783,0
Jalan58.csv,E,56,111,42,68,1,0,875,2056,0
Jalan59.csv,E,56,109,48,60,1,0,1774,1872,0
Jalan6.csv,E,56,81,11,69,1,0,88,2180,0
Jalan60.csv,E,56,124,51,73,0,0,1329,2066,0
Jalan61.csv,E,56,172,69,101,2,0,1841,2453,0
Jalan62.csv,E,56,155,41,111,3,0,730,2785,0
Jalan63.csv,E,56,331,71,256,4,0,1161,8570,0
Jalan64.csv,E,56,307,88,214,5,0,2017,6773,0
Jalan65.csv,E,56,269,101,161,7,0,2659,3976,0
Jalan66.csv,E,56,233,129,100,4,0,3109,1945,0
Jalan67.csv,E,56,251,57,193,1,0,827,6149,0
Jalan68.csv,E,56,201,102,92,7,0,3206,2043,0
Jalan69.csv,E,56,228,62,157,9,0,1755,4269,0
Jalan7.csv,E,56,86,38,48,0,0,695,1346,0
Jalan70.csv,E,56,163,103,57,3,0,3163,1339,0
Jalan71.csv,E,56,467,123,339,5,0,2455,9778,0
Jalan72.csv,E,56,436,194,235,7,0,6348,5619,0
Jalan8.csv,E,56,85,33,52,0,0,656,1727,0
Jalan9.csv,E,56,82,35,46,1,0,1100,1306,0
Jalan1.csv,F,56,75,35,40,0,0,426,685,0
Jalan10.csv,F,56,97,24,72,1,0,512,2186,0
Jalan11.csv,F,56,97,38,58,1,0,767,1478,0
Jalan12.csv,F,56,95,29,66,0,0,696,2049,0
Jalan13.csv,F,56,105,43,62,0,0,771,1622,0
Jalan14.csv,F,56,105,16,88,1,0,283,2467,0
Jalan15.csv,F,56,245,39,205,1,0,543,5761,0
Jalan16.csv,F,56,269,77,190,2,0,1171,5760,0
Jalan17.csv,F,56,238,89,146,3,0,2037,4062,0
Jalan18.csv,F,56,195,106,85,4,0,3090,2249,0
Jalan19.csv,F,56,214,50,163,1,0,1004,5274,0
Jalan2.csv,F,56,89,55,33,1,0,2071,650,0
Jalan20.csv,F,56,208,61,146,1,0,1228,4026,0
Jalan21.csv,F,56,171,72,98,1,0,1863,2372,0
Jalan22.csv,F,56,159,80,79,0,0,2511,2061,0
Jalan23.csv,F,56,398,106,285,7,0,2173,7783,0
Jalan24.csv,F,56,383,159,221,3,0,5086,5848,0
Jalan25.csv,F,56,70,22,47,1,0,220,1028,0
Jalan26.csv,F,56,76,41,34,1,0,1585,805,0
Jalan27.csv,F,56,74,35,38,1,0,919,850,0
Jalan28.csv,F,56,36,0,36,0,0,0,1754,0
Jalan29.csv,F,56,49,0,49,0,0,0,1924,0
Jalan3.csv,F,56,86,47,38,1,0,1327,1109,0
Jalan30.csv,F,56,68,14,54,0,0,109,1616,0
Jalan31.csv,F,56,69,20,48,1,0,223,1390,0
Jalan32.csv,F,56,69,27,42,0,0,587,1505,0
Jalan33.csv,F,56,72,17,53,2,0,275,1376,0
Jalan34.csv,F,56,75,9,65,1,0,169,2093,0
Jalan35.csv,F,56,77,37,38,2,0,1108,1068,0
Jalan36.csv,F,56,72,29,42,1,0,745,1325,0
Jalan37.csv,F,56,86,42,42,2,0,1136,1018,0
Jalan38.csv,F,56,83,19,64,0,0,311,2077,0
