file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan66.csv,D,48,198,114,77,7,0,2868,1653,0
Jalan67.csv,D,48,290,62,226,2,0,1742,6133,0
Jalan68.csv,D,48,277,93,179,5,0,2240,4344,0
Jalan69.csv,D,48,274,124,148,2,0,3673,3445,0
Jalan7.csv,D,48,95,42,51,2,0,862,1283,0
Jalan70.csv,D,48,218,112,102,4,0,3025,1984,0
Jalan71.csv,D,48,476,155,317,4,0,3490,7909,0
Jalan72.csv,D,48,507,187,315,5,0,5422,6933,0
Jalan8.csv,D,48,83,34,48,1,0,1031,1290,0
Jalan9.csv,D,48,94,49,45,0,0,1992,1341,0
Jalan1.csv,E,48,97,38,59,0,0,718,1154,0
Jalan10.csv,E,48,84,38,46,0,0,952,1127,0
Jalan11.csv,E,48,89,33,56,0,0,694,1459,0
Jalan12.csv,E,48,92,36,56,0,0,1279,1330,0
Jalan13.csv,E,48,98,61,37,0,0,1341,886,0
Jalan14.csv,E,48,86,32,52,2,0,663,1163,0
Jalan15.csv,E,48,256,60,192,4,0,678,5206,0
Jalan16.csv,E,48,241,90,148,3,0,2190,4150,0
Jalan17.csv,E,48,241,108,132,1,0,2612,3309,0
Jalan18.csv,E,48,167,102,64,1,0,2859,1212,0
Jalan19.csv,E,48,232,64,165,3,0,1328,4241,0
Jalan2.csv,E,48,98,63,34,1,0,2650,661,0
Jalan20.csv,E,48,214,86,126,2,0,2378,3071,0
Jalan21.csv,E,48,191,80,111,0,0,1903,2605,0
Jalan22.csv,E,48,159,111,46,2,0,3407,970,0
Jalan23.csv,E,48,382,136,241,5,0,2272,6335,0
Jalan24.csv,E,48,396,171,219,6,0,5595,4886,0
Jalan25.csv,E,48,61,14,45,2,0,166,976,0
Jalan26.csv,E,48,77,47,28,2,0,1513,507,0
Jalan27.csv,E,48,72,48,22,2,0,1977,534,0
Jalan28.csv,E,48,54,0,54,0,0,0,1924,0
Jalan29.csv,E,48,51,5,45,1,0,45,1054,0
Jalan3.csv,E,48,94,53,37,4,0,1728,794,0
Jalan30.csv,E,48,67,24,43,0,0,415,1006,0
Jalan31.csv,E,48,80,45,34,1,0,1239,937,0
Jalan32.csv,E,48,66,23,43,0,0,667,1362,0
Jalan33.csv,E,48,68,24,42,2,0,1093,1054,0
Jalan34.csv,E,48,69,27,40,2,0,705,1131,0
Jalan35.csv,E,48,70,34,36,0,0,783,835,0
Jalan36.csv,E,48,75,27,48,0,0,685,1043,0
Jalan37.csv,E,48,80,39,41,0,0,867,928,0
Jalan38.csv,E,48,69,27,41,1,0,492,922,0
Jalan39.csv,E,48,189,57,131,1,0,850,3842,0
Jalan4.csv,E,48,69,1,68,0,0,1,2297,0
Jalan40.csv,E,48,161,68,93,0,0,2010,2528,0
Jalan41.csv,E,48,166,93,71,2,0,2427,1361,0
Jalan42.csv,E,48,141,103,36,2,0,3535,640,0
Jalan43.csv,E,48,192,52,136,4,0,909,3480,0
Jalan44.csv,E,48,183,86,96,1,0,2179,2138,0
Jalan45.csv,E,48,146,86,60,0,0,2251,1146,0
Jalan46.csv,E,48,122,93,29,0,0,3118,452,0
Jalan47.csv,E,48,305,117,184,4,0,2519,4462,0
Jalan48.csv,E,48,320,117,201,2,0,4399,4751,0
Jalan49.csv,E,48,99,34,61,4,0,440,1023,0
Jalan5.csv,E,48,67,6,61,0,0,33,1712,0
Jalan50.csv,E,48,93,64,28,1,0,2200,597,0
Jalan51.csv,E,48,129,83,45,1,0,2130,999,0
Jalan52.csv,E,48,83,1,82,0,0,3,2540,0
Jalan53.csv,E,48,102,13,88,1,0,98,2328,0
Jalan54.csv,E,48,111,34,74,3,0,377,1965,0
Jalan55.csv,E,48,135,72,63,0,0,2012,1552,0
Jalan56.csv,E,48,116,57,59,0,0,1548,1656,0
Jalan57.csv,E,48,106,53,51,2,0,1089,1304,0
Jalan58.csv,E,48,111,49,61,1,0,1246,1539,0
Jalan59.csv,E,48,109,55,54,0,0,2193,1419,0
Jalan6.csv,E,48,81,19,61,1,0,199,1643,0
Jalan60.csv,E,48,124,59,64,1,0,1764,1509,0
Jalan61.csv,E,48,172,85,84,3,0,2472,1708,0
Jalan62.csv,E,48,155,60,91,4,0,1135,1950,0
Jalan63.csv,E,48,331,98,230,3,0,1865,6626,0
Jalan64.csv,E,48,307,117,187,3,0,2868,5168,0
Jalan65.csv,E,48,269,134,130,5,0,3616,2781,0
Jalan66.csv,E,48,233,160,68,5,0,4285,1257,0
Jalan67.csv,E,48,251,73,175,3,0,1348,4662,0
Jalan68.csv,E,48,201,132,68,1,0,4173,1402,0
Jalan69.csv,E,48,228,98,128,2,0,2428,3118,0
